date,bitcoin_price,bitcoin_vol.
31-03-2022,"45,525.00",520000000.0
30-03-2022,"47,075.00",467760000.0
29-03-2022,"47,449.00",478820000.0
28-03-2022,"47,105.00",610270000.0
25-03-2022,"44,331.00",494090000.0
24-03-2022,"44,013.00",491660000.0
23-03-2022,"42,912.00",433960000.0
22-03-2022,"42,373.00",537060000.0
21-03-2022,"41,022.00",406620000.0
18-03-2022,"41,767.80",2310000000.0
17-03-2022,"40,914.80",1900000000.0
16-03-2022,"41,118.70",4470000000.0
15-03-2022,"39,285.70",2250000000.0
14-03-2022,"39,671.10",2330000000.0
11-03-2022,"38,730.20",2790000000.0
10-03-2022,"39,416.30",3620000000.0
09-03-2022,"41,929.00",3600000000.0
08-03-2022,"38,744.80",2670000000.0
07-03-2022,"38,024.80",3020000000.0
04-03-2022,"39,142.70",3210000000.0
03-03-2022,"42,463.00",74110.0
02-03-2022,"43,912.80",80820.0
01-03-2022,"44,420.30",90670.0
28-02-2022,"43,188.20",108070.0
25-02-2022,"39,209.60",83780.0
24-02-2022,"38,339.20",180470.0
23-02-2022,"37,224.60",64840.0
18-02-2022,"40,000.10",64959.99999999999
17-02-2022,"40,552.80",72630.0
16-02-2022,"43,883.60",41400.0
15-02-2022,"44,544.40",56340.0
14-02-2022,"42,550.30",53600.0
11-02-2022,"42,388.40",69950.0
10-02-2022,"43,521.00",89690.0
09-02-2022,"44,388.90",50920.0
08-02-2022,"44,038.20",92880.0
07-02-2022,"43,833.90",76600.0
04-02-2022,"41,567.60",95490.0
03-02-2022,"37,287.80",50350.0
02-02-2022,"36,890.20",53740.0
01-02-2022,"38,709.70",55200.0
31-01-2022,"38,498.60",61270.0
28-01-2022,"37,745.10",69450.0
27-01-2022,"37,164.30",83520.0
26-01-2022,"36,800.40",107870.0
25-01-2022,"36,950.60",79680.0
24-01-2022,"36,686.30",153770.0
21-01-2022,"36,475.50",155800.0
20-01-2022,"40,715.90",65280.0
19-01-2022,"41,677.80",53770.0
14-01-2022,"43,073.30",50500.0
13-01-2022,"42,560.00",53420.0
12-01-2022,"43,901.00",53950.0
11-01-2022,"42,733.20",61780.0
10-01-2022,"41,832.20",85500.0
07-01-2022,"41,546.70",88360.0
06-01-2022,"43,097.50",63080.0
05-01-2022,"43,425.90",83740.0
04-01-2022,"45,837.30",55590.0
03-01-2022,"46,430.20",41060.0
31-12-2021,"46,219.50",58180.0
30-12-2021,"47,123.30",60960.0
29-12-2021,"46,461.70",63920.0
28-12-2021,"47,545.20",74390.0
27-12-2021,"50,678.20",43900.0
23-12-2021,"50,801.00",56240.0
22-12-2021,"48,599.70",40890.0
21-12-2021,"48,902.00",57880.0
20-12-2021,"46,895.20",57530.0
17-12-2021,"46,172.20",67500.0
16-12-2021,"47,628.20",48200.0
15-12-2021,"48,871.50",80280.0
14-12-2021,"48,366.50",62540.0
13-12-2021,"46,703.60",80370.0
10-12-2021,"47,137.20",68060.0
09-12-2021,"47,596.60",58690.0
08-12-2021,"50,473.90",55590.0
07-12-2021,"50,595.20",56290.0
06-12-2021,"50,562.10",89680.0
03-12-2021,"53,631.50",89200.0
02-12-2021,"56,496.00",54940.0
01-12-2021,"57,210.30",66750.0
30-11-2021,"56,882.90",73660.0
29-11-2021,"57,794.80",58650.0
24-11-2021,"57,171.70",56680.0
23-11-2021,"57,573.20",72480.0
22-11-2021,"56,308.80",76450.0
19-11-2021,"58,083.40",74440.0
18-11-2021,"56,955.30",100370.0
17-11-2021,"60,367.80",73930.0
16-11-2021,"60,089.10",115360.0
15-11-2021,"63,597.90",53530.0
12-11-2021,"64,134.50",63270.0
11-11-2021,"64,806.70",50370.0
10-11-2021,"64,932.60",96210.0
09-11-2021,"66,904.40",66130.0
08-11-2021,"67,527.90",81080.0
05-11-2021,"60,974.30",44460.0
04-11-2021,"61,412.60",49910.0
03-11-2021,"62,918.50",61050.0
02-11-2021,"63,221.70",65260.00000000001
01-11-2021,"60,915.30",61210.0
29-10-2021,"62,242.80",63390.0
28-10-2021,"60,582.50",88470.0
27-10-2021,"58,438.10",88110.0
26-10-2021,"60,310.80",57130.0
25-10-2021,"63,067.00",51060.0
22-10-2021,"60,690.30",75690.0
21-10-2021,"62,210.20",105380.0
20-10-2021,"65,979.10",79870.0
19-10-2021,"64,278.50",80160.0
18-10-2021,"62,056.30",80150.0
15-10-2021,"61,672.50",121480.0
14-10-2021,"57,345.80",59840.0
13-10-2021,"57,380.10",73620.0
12-10-2021,"56,015.90",74850.0
11-10-2021,"57,477.30",73840.0
08-10-2021,"53,914.70",64050.0
07-10-2021,"53,783.90",75680.0
06-10-2021,"55,323.20",116260.0
05-10-2021,"51,469.30",76630.0
04-10-2021,"49,227.30",66920.0
01-10-2021,"48,146.00",94660.0
30-09-2021,"43,823.30",64319.99999999999
29-09-2021,"41,536.80",48210.0
28-09-2021,"41,022.30",60010.0
27-09-2021,"42,172.60",54120.0
24-09-2021,"42,819.90",128880.0
23-09-2021,"44,869.20",74540.0
22-09-2021,"43,551.60",93980.0
21-09-2021,"40,651.30",142550.0
20-09-2021,"42,870.60",77960.0
17-09-2021,"47,282.80",50160.0
16-09-2021,"47,748.00",60910.0
15-09-2021,"48,130.60",63400.0
14-09-2021,"47,077.50",65330.0
13-09-2021,"44,949.50",96150.0
10-09-2021,"44,842.80",75620.0
09-09-2021,"46,385.60",73630.0
08-09-2021,"46,061.40",100480.0
03-09-2021,"49,999.00",88080.0
02-09-2021,"49,274.30",80210.0
01-09-2021,"48,819.40",74380.0
31-08-2021,"47,130.40",71480.0
30-08-2021,"46,992.70",61680.0
27-08-2021,"49,064.30",62470.0
26-08-2021,"46,831.60",73790.0
25-08-2021,"48,994.50",63540.0
24-08-2021,"47,714.70",74260.0
23-08-2021,"49,539.70",75370.0
20-08-2021,"49,324.00",83190.0
19-08-2021,"46,755.90",77920.0
18-08-2021,"44,723.80",22360.0
17-08-2021,"44,691.60",84140.0
16-08-2021,"45,996.30",2410.0
13-08-2021,"47,809.10",75270.0
12-08-2021,"44,403.40",81070.0
11-08-2021,"45,564.30",75430.0
10-08-2021,"45,593.80",80550.0
09-08-2021,"46,284.30",117080.0
06-08-2021,"42,795.40",111930.0
05-08-2021,"40,867.20",130600.0
04-08-2021,"39,736.90",79220.0
03-08-2021,"38,130.30",260.0
02-08-2021,"39,168.40",74810.0
30-07-2021,"42,203.40",98450.0
29-07-2021,"40,001.40",75300.0
28-07-2021,"40,003.20",148920.0
27-07-2021,"39,452.00",100240.0
26-07-2021,"37,276.60",177630.0
23-07-2021,"33,603.30",66150.0
22-07-2021,"32,298.90",64870.00000000001
21-07-2021,"32,131.40",118340.0
20-07-2021,"29,793.80",97460.0
19-07-2021,"30,837.20",77480.0
16-07-2021,"31,394.00",70480.0
15-07-2021,"31,840.50",76950.0
14-07-2021,"32,820.70",69560.0
13-07-2021,"32,728.10",60040.0
12-07-2021,"33,113.00",63240.0
09-07-2021,"33,797.40",67140.0
08-07-2021,"32,866.30",108090.0
07-07-2021,"33,867.80",72030.0
02-07-2021,"33,813.40",78930.0
01-07-2021,"33,543.60",27410.0
30-06-2021,"35,026.90",107070.0
29-06-2021,"35,834.70",97270.0
28-06-2021,"34,475.90",112000.0
25-06-2021,"31,594.00",193430.0
24-06-2021,"34,665.80",119250.0
23-06-2021,"33,674.30",173340.0
22-06-2021,"32,496.40",309650.0
21-06-2021,"31,692.00",256870.0
18-06-2021,"35,749.40",102840.0
17-06-2021,"38,052.00",109580.0
16-06-2021,"38,336.00",123520.0
15-06-2021,"40,156.10",117550.0
14-06-2021,"40,529.40",157350.0
